SMILES,CHEMBL_ID,IC50(nM)
Cc1ncccc1c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C,1081687,390
Cc1nc(C)c(s1)c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C,1081746,350
Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(Cl)cc5F)n2C,1081747,398.11
Cn1c(SCCCN2C[C@@H]3C[C@@]3(C2)c4ccc(cc4)C(F)(F)F)nnc1c5ccnnc5,1081867,470
Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cc(F)cc(c5)C(F)(F)F)n2C,1081868,1000
Cc1ccc(c(F)c1)C23CC2CN(CCCSc4nnc(c5ocnc5C)n4C)C3,1081869,1000
Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cccc(OC(F)(F)F)c5)n2C,1081934,630.96
Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cccc(c5)C(F)(F)F)n2C,1081957,2511.89
Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(OC(F)(F)F)cc5)n2C,1081966,199.53
Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(Br)cc5)n2C,1082106,398.11
Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cc(ccc5F)C(F)(F)F)n2C,1082111,1258.93
CN1c2nc(c(cc2C(CC1(C)C)C(=O)NCO)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl,1082330,40
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(C)nc4C,1082447,5000
CNC[C@@H](O)CCN1c2ccccc2N(c3ccccc3F)S1(=O)=O,1082458,>30000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cc(C)nc(n4)c5ccccc5,1082488,30
COc1ncc(cn1)c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2,1082489,22400
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccccn4,1082496,4500
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5cccnc5,1082606,1500
C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]4(N1)C(=O)Nc5ccc(Cl)cc45,1082723,30440
C[C@H]1Cc2c([nH]c3cc(F)c(F)cc23)[C@@]4(N1)C(=O)Nc5ccc(Cl)cc45,1082725,>30000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(C)nc4,1082781,6600
CC1(C)CC(NC(=O)CCO)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccc(Cl)cc4Cl,1083025,380
CNC[C@@H](O)CCN1c2ccccc2N(c3cc(F)ccc3F)S1(=O)=O,1083118,13000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4oc(C)nc4C,1083274,40000
CC(C)Oc1ccccc1CC(N2CCNCC2)c3ccccc3,1083405,6370
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccncc4,1083406,6900
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(Cl)nc4,1083407,3600
CNC[C@@H](O)CCN1c2ccccc2N(c3ccccc3)S1(=O)=O,1083409,8000
FC(F)Oc1ccccc1CC(N2CCNCC2)c3ccc(F)cc3,1083425,9120
Fc1ccccc1C(Cc2ccccc2OC(F)(F)F)N3CCNCC3,1083426,760
Fc1cccc(c1)C(Cc2ccccc2OC(F)(F)F)N3CCNCC3,1083427,6110
CNC[C@@H](O)CCN1c2ccccc2N(c3c(F)cccc3F)S1(=O)=O,1083429,20000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc5nccnc5c4,1083447,8400
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc5OCOCc5c4,1083448,3600
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnn(c4C)c5ccc(nn5)N(C)C,1083462,18000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnn(c4C)c5ccc(Cl)c(Cl)c5,1083463,150
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4nc5ccccc5s4,1083562,480
C[C@@H](O)C(=O)NC1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl,1083646,120
C(C(N1CCNCC1)c2ccccc2)c3ccccc3OC4CC4,1083705,6400
C(Oc1ccccc1CC(N2CCNCC2)c3ccccc3)C4CC4,1083706,2960
C(C(N1CCNCC1)c2ccccc2)c3cccc4CCOc34,1083707,21400
FC(F)Oc1ccccc1CC(N2CCNCC2)c3ccccc3,1083708,10700
Cn1nccc1c2cc(NC(=O)c3ccc(F)cc3F)ccc2OCCN4CCOCC4,1083750,4100
C[C@H]1CCc2c([nH]c3ccccc23)[C@@]4(N1)C(=O)Nc5ccc(Br)cc45,1083766,>30000
C[C@H]1Cc2c([nH]c3ccccc23)[C@@]4(N1)C(=O)Nc5ccc(Cl)cc45,1083769,>30000
Fc1ccc(cc1)c2ccc(NC(=O)NCCCCN3CCCCC3)cn2,1083787,1300
CN(C)CCCCc1ccc(cc1)C(C)(C)C,1083999,7500
CN(C)CCCCc1ccc(cc1)C2(C)COC2,1084000,35000
Fc1ccc(cc1)C(Cc2ccccc2OC(F)(F)F)N3CCNCC3,1084033,4950
C(C1CCCCN1)N2CCN(C2)c3ccccc3,1084132,15848.93
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5cc(Cl)nc(Cl)c5,1084294,5100
FC(F)Oc1ccccc1CC(N2CCNCC2)c3ccccc3F,1084309,6500
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c[nH]nc4C,1084314,4400
COCCC([C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3)C(=O)O,1084328,>30000
C[C@H]1Cc2c([nH]c3ccc(F)cc23)[C@@]4(N1)C(=O)Nc5ccc(Cl)cc45,1084349,>30000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc5ncnn5c4C,1084383,710
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cn5CCSc5n4,1084384,40000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)nc5ccccn45,1084385,2000
FC(F)(F)c1cccc(c1)c2cc(CCCN3CCCCC3)nc(n2)C#N,1084400,160
CCC(CC)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,1084401,320
CC(C)(C)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,1084402,1100
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(C)nc4C,1084559,5100
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cccnc4,1084560,3000
FC(F)Oc1ccccc1CC(N2CCNCC2)c3cccc(F)c3,1084577,8240
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccn[nH]4,1084581,40000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cn[nH]c4,1084582,10000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccn5ncnc5n4,1084616,5200
COc1cccc(c1)C(=O)Nc2ccc(OCCN3CCOCC3)c(c2)c4ccnn4C,1084617,11000
OC(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3,1084762,>30000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)n[nH]c4C,1084826,40000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnn(C)c4C,1084827,10000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnn(c4C)c5cc(cc(C)n5)C(F)(F)F,1084877,16800
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5ccccc5,1084878,400
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5ccc(OCC(F)(F)F)nc5,1084879,1520
Oc1ccccc1C[C@@H](N2CCNCC2)c3ccccc3,1084971,>10000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(s4)c5ccc(C)s5,1085124,500
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc5nc6ccccc6n5c4C,1085142,430
COc1ccccc1CC(N2CCNCC2)c3cccc(F)c3,1085321,>22500
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)C(C)(C)C,1085325,6800
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)N5CCCCC5,1085336,690
CC1CCN(CC1)c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2,1085337,5600
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)onc4c5ccc(Cl)cc5,1085396,400
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(Cl)n(C)nc4c5ccccc5,1085397,6000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)onc4c5ccccc5,1085398,6400
COc1ccccc1CC(N2CCNCC2)c3ccc(F)cc3,1085567,16000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)C4=NCCS4,1085591,6300
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5cnccn5,1085592,32000
CC(=O)N1CCN(CCOc2ccc(NC(=O)c3cccc(F)c3)cc2c4ccnn4C)CC1,1085627,4100
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4onc(c4C)c5ccc(Cl)cc5,1085641,440
Clc1cccc(c1)N2CCN(CC3CCCCN3)C2=O,1085672,7943.28
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(O)ccnc4C(F)(F)F,1085783,40000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)C#N,1085800,780
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cncnc4,1085828,10000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5ccncc5,1085841,1200
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5ccccn5,1085866,2800
COc1ccccc1CC(N2CCNCC2)c3ccccc3F,1085959,40100
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnccn4,1085964,6200
C[C@@H]1CCCN1CCc2ccc3ncccc3c2,1086032,40000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)C4CC4,1086034,11000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5csc(C)n5,1086072,12400
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5cc(C)on5,1086073,710
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc5OCOc5c4,1086074,40000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4nnn(c4C)c5ccc(F)cc5F,1086098,2800
COc1c(F)cccc1CC(N2CCNCC2)c3ccccc3,1086273,20800
COc1cccc(F)c1CC(N2CCNCC2)c3ccccc3,1086274,8550
FC(F)Oc1cccc(F)c1CC(N2CCNCC2)c3ccccc3,1086275,10400
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5cccs5,1086292,930
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(C#N)s4,1086315,480
Cn1nccc1c2cc(NC(=O)c3cccc(c3)C(F)(F)F)ccc2OCCN4CCOCC4,1086317,900
CCN1CCN(CC(=O)Nc2ccc(c3cccc4C(=O)C=C(Oc34)N5CCOCC5)c6sc7ccccc7c26)CC1,1086377,>20000
C[C@H]1Cc2c([nH]c3cc(Cl)ccc23)[C@@]4(N1)C(=O)Nc5ccc(Cl)cc45,1086475,>30000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc(s4)c5ccccc5,1086513,340
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)N5C=CC(=O)C=C5,1086514,20000
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4onc(Br)c4,1086520,220
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4nccs4,1086521,2900
CCOC(=N)c1ccc(s1)c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2,1086534,1200
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)N5CCOCC5,1086561,20400
CN1CCN(CC1)c2nc3c(N4CCN(Cc5cc(C)on5)CC4)c(Br)cnc3[nH]2,1086579,3000
Oc1nc(nc2CCSCc12)c3ccc(cc3)C(F)(F)F,1086580,>30000
CN1CCN(CC1)c2nc3c(N4CCN(Cc5cc(C)on5)CC4)c(Cl)cnc3[nH]2,1086582,2300
Cc1[nH]c(cc1C(=O)NCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c4ccccc4,1086626,100
Cc1c(cc(c2ccccc2)n1C)C(=O)NCCCN3CCN(CC3)c4cccc(Cl)c4Cl,1086754,140
CCCn1c(C)c(cc1c2ccccc2)C(=O)NCCCN3CCN(CC3)c4cccc(Cl)c4Cl,1086756,540
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(Cl)c3)c2,1086899,>30000
C[C@H](Nc1nc(Nc2ncc(C)s2)cc(n1)N3CCN(C)CC3)c4ccc(F)cn4,1087268,13000
C[C@H](Nc1nc(Nc2ncc(C)s2)cc(n1)N3CCOCC3)c4ccc(F)cn4,1087269,12000
COc1ccc(Cn2c(nc3ccccc23)N4CC[C@H](C4)N(C)C)cc1,1087367,492
C[C@H](Nc1nc(Nc2ncc(C#N)s2)cc(n1)N3CCOCC3)c4ccc(F)cn4,1087398,>32000
CCOCCn1c(nc2ccccc12)N3CC[C@@H](C3)N(C)C,1087493,233
COc1cc(Nc2ncc(C)s2)nc(N[C@@H](C)c3ncc(F)cn3)n1,1088029,>32000
C[C@H](Nc1nc(Nc2ncc(C)s2)cc(n1)N3CCOCC3)c4ncc(F)cn4,1088030,>32000
CCCCC(N1CCOCC1)C(O)(c2cccnc2)c3cccnc3,1088803,36000
CCCCCCC(N1CCOCC1)C(O)(c2cccnc2)c3cccnc3,1088804,27500
OC(Cc1ccccc1)(c2cccnc2)c3cccnc3,1088805,>60000
FC(F)(F)c1cccc(c1)C(=O)NCC(=O)N[C@@H]2CCN(CCC3CCN(CC3)C(=O)c4ccccc4Cl)C2,1088874,>10000
COc1nccnc1CC2=C(CCN(C)C)Cc3ccccc23,1088900,7600
Cc1[nH]c2ccccc2c1CCN3Cc4ccc(\C=C\C(=O)NO)cc4C3,1088949,4800
OCCN1CCC(CC1)N(C(=O)NCc2ccc(F)cc2)c3ccc(Br)cc3,1089078,7880
OC(C(N1CCCC1)c2ccccc2)(c3cccnc3)c4cccnc4,1089159,20000
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccc(F)cc4)c2)cc1,1089164,38000
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccc(Cl)cc4)c2)cc1,1089210,29300
Cc1[nH]c2ccccc2c1CCN3CCc4ccc(\C=C\C(=O)NO)cc4CC3,1089301,3200
Cc1[nH]c2ccccc2c1C3CCCN(Cc4ccc(\C=C\C(=O)NO)cc4)C3,1089343,27600
Cc1[nH]c2ccccc2c1C3CCN(Cc4ccc(\C=C\C(=O)NO)cc4)C3,1089344,13400
Cc1[nH]c2ccccc2c1CC3CCCCN3Cc4ccc(\C=C\C(=O)NO)cc4,1089359,9100
Clc1cc(Cl)cc(CNC(=O)N(C2CCN(CC2)C3CCCC3)c4ccc(Br)cc4)c1,1089681,61
Cc1[nH]c2ccccc2c1CCN3CCCC3c4ccc(\C=C\C(=O)NO)cc4,1089700,19400
Cc1[nH]c2ccccc2c1CCN3CCc4cc(\C=C\C(=O)NO)ccc4C3,1089701,14800
Fc1ccc(F)c(c1)C(=O)N2CCN(CCN3CC[C@H](C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F)CC2,1089793,>10000
CN1C(=O)C(=Cc2cnn(c12)c3c(F)cccc3F)c4cc(ccc4C)C(=O)NC5CC5,1089865,36000
Fc1ccccc1C(=O)N2CCC(CCN3CC[C@H](C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F)CC2,1089881,>10000
OC(C(N1CCNCC1)c2ccccc2)(c3cccnc3)c4cccnc4,1090159,2300
OC(C(N1CCCCC1)c2ccccc2)(c3cccnc3)c4cccnc4,1090160,14000
COc1ccc2C(=C(CCN(C)C)Cc2c1)[C@@H](C)c3cnccn3,1090175,3400
COc1nccnc1[C@H](C)C2=C(CCN(C)C)Cc3cc(C)ccc23,1090176,3800
COc1ccc2C(=C(CCN(C)C)Cc2c1)[C@@H](C)c3nccnc3OC,1090186,5000
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccc(cc4)C#N)c2)cc1,1090188,53000
COc1ccc(cc1)c2oc(C)c(COc3cccc(CN(CC(=O)O)C(=O)Oc4ccc(C)cc4)c3)n2,1090189,8600
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3oc(nc3C)c4ccc(Cl)cc4)c2)cc1,1090211,20000
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3sc(nc3C)c4ccc(Cl)cc4)c2)cc1,1090212,>80000
COc1nccnc1[C@H](C)C2=C(CCN(C)C)Cc3cc(F)ccc23,1090526,1800
C[C@H](C1=C(CCN(C)C)Cc2cc(C)ccc12)c3nccs3,1090528,620
OCC(N1CCOCC1)c2ccccc2,1090791,>60000
CC(C)(O)C(N1CCOCC1)c2ccccc2,1090792,>60000
CC(C)C(N1CCOCC1)C(O)(c2ccccc2)c3ccccc3,1090793,>30000
OC(C(N1CCOCC1)c2ccccc2)(c3cccnc3)c4cccnc4,1090794,>60000
CC(N1CCOCC1)C(O)(c2cccnc2)c3cccnc3,1090795,>60000
NC(c1ccccc1)C(O)(c2cccnc2)c3cccnc3,1090816,>60000
CN(C)C(c1ccccc1)C(O)(c2cccnc2)c3cccnc3,1090817,>60000
OC(C(N1CCC1)c2ccccc2)(c3cccnc3)c4cccnc4,1090818,15000
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccc(C)cc4)c2)cc1,1090877,25900
COc1cccnc1[C@H](C)c2c(CCN(C)C)sc3ccccc23,1091069,3000
CCN(CC)C(c1ccccc1)C(O)(c2cccnc2)c3cccnc3,1091162,>60000
OC(C(N1CCCOCC1)c2ccccc2)(c3cccnc3)c4cccnc4,1091163,3550
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccc(cc4)C(F)(F)F)c2)cc1,1091218,26000
CC(C)N(C)[C@@H]1CC[C@H](NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)[C@H](CS(=O)(=O)c3ccccc3)C1,1091604,>80000
CC(C)N(C)[C@@H]1CC[C@@H]([C@H](CS(=O)(=O)c2ccccc2)C1)N3CC[C@H](NC(=O)c4cccc(c4)C(F)(F)F)C3=O,1091605,30000
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(sc3C)c4ccc(Cl)cc4)c2)cc1,1091664,10000
CCC(C)(C)Cc1c[nH]c(CCc2ccc(cc2)c3ccccn3)n1,1091720,1200
C[C@@H](c1ccccn1)c2c(CCN3CCC3)sc4ccccc24,1091775,4200
C[C@H](c1cccnc1)c2c(CCN(C)C)sc3ccccc23,1091777,490
C[C@@H](c1cccnc1)c2c(CCN(C)C)sc3ccccc23,1091778,>5000
C[C@@H](c1cscn1)c2c(CCN(C)C)sc3ccccc23,1091782,1700
Fc1ccc(CNC(=O)N(C2CCN(Cc3ccncc3)CC2)c4ccc(Cl)cc4)cc1,1091834,3810
Nc1cc(CN2CCC(CC2)N(C(=O)NCc3ccc(F)cc3)c4ccc(Cl)cc4)ccn1,1091836,384
OC(C(N1CCOCC1)c2ccccc2)(c3ccccc3)c4ccccc4,1091863,>65000
CC(C)C(N1CCOCC1)C(O)(c2cccnc2)c3cccnc3,1091879,75000
OC(C(Cc1ccccc1)N2CCOCC2)(c3cccnc3)c4cccnc4,1091880,15190
CSc1nn2c3CCCCc3c(C)nc2c1S(=O)(=O)c4ccccc4,1091919,8400
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4ccccc4Cl)c2)cc1,1091980,>80000
CCN1CCC(CC1)N(C(=O)NCc2ccc(F)cc2)c3ccc(Cl)cc3,1092105,6650
CCN1CCC(CC1)N(C(=O)NCc2ccc(F)cc2)c3ccc(Cl)cn3,1092106,9190
Brc1ccc(cc1)N(C2CCN(Cc3ccncc3)CC2)C(=O)NCc4ccccc4,1092108,2310
Brc1ccc(cc1)N(C2CCN(Cc3ccnnc3)CC2)C(=O)NCc4ccccc4,1092109,13800
C[C@@H](c1ncccc1C)c2c(CCN(C)C)sc3ccccc23,1092126,910
Clc1cc2[nH]nc(NC(=O)Nc3ccccc3)c2cc1c4ccccc4,1092134,>10000
CC(C)(O)C(=O)c1oc2nc(c3ccccc3Cl)c(cc2c1NC(=O)CO)c4ccc(Cl)cc4,1092169,6600
FC(F)(F)c1cccc(c1)C(=O)NCC(=O)N[C@@H]2CCN(CCN3CCN(CC3)C(=O)c4ccccc4Cl)C2,1092238,>10000
COc1ccc2C(=C(CCN(C)C)Cc2c1)Cc3cnccn3,1092258,2100
CN(C)CCC1=C(Cc2cnccn2)c3ccc(Cl)cc3C1,1092259,110
C[C@@H](c1ncccc1F)c2c(CCN(C)C)sc3ccccc23,1092377,330
C[C@@H](c1ccc(F)cn1)c2c(CCN(C)C)sc3ccccc23,1092495,240
COCCN(C)C(c1ccccc1)C(O)(c2cccnc2)c3cccnc3,1092574,3450
COc1nccnc1[C@H](C)C2=C(CCN(C)C)Cc3ccccc23,1092597,7600
C[C@H](C1=C(CCN(C)C)Cc2ccccc12)c3nccs3,1092598,3700
C[C@H](C1=C(CCN(C)C)Cc2ccccc12)c3nc(C)cs3,1092599,1900
CN(C)CCC1=C(Cc2cnccn2)c3ccc(C)cc3C1,1092600,520
CN(C)CCC1=C(Cc2cnccn2)c3ccc(F)cc3C1,1092649,590
COc1nccnc1CC2=C(CCN(C)C)Cc3cc(Cl)ccc23,1092650,230
CN(C)CCC1=C(Cc2cccnn2)c3ccc(Cl)cc3C1,1092652,220
CN(C)CCC1=C(Cc2cccnn2)c3ccc(F)cc3C1,1092662,890
C[C@H](C1=C(CCN(C)C)Cc2cc(C)ccc12)c3cnccn3,1092663,360
CC(C)N(C)[C@@H]1CC[C@@H]([C@H](CS(=O)(=O)c2ccc(C)cc2)C1)N3CC[C@H](NC(=O)c4cccc(c4)C(F)(F)F)C3=O,1092678,3000
CC(C)N(C)[C@@H]1CC[C@@H]([C@H](CS(=O)(=O)c2ccccc2)C1)N3CC[C@H](NC(=O)c4cc(cc(c4)C(F)(F)F)C(F)(F)F)C3=O,1092748,4000
C[C@H](c1cccnc1F)c2c(CCN(C)C)sc3ccccc23,1092765,2300
C[C@H](c1cccnc1Cl)c2c(CCN(C)C)sc3ccccc23,1092766,1500
CC(=O)N1CCC(CC1)c2[nH]nc(c3ccc(F)cc3)c2c4ccncc4,1092901,790
Fc1ccc(F)c(c1)C(=O)N2CCC(CCN3CC[C@H](C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F)CC2,1092921,10000
FC(F)(F)c1cccc(c1)C(=O)NCC(=O)N[C@@H]2CCN(CCC3CCN(CC3)C(=O)c4ccccc4)C2,1092929,>10000
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(oc3C)c4cccc(Cl)c4)c2)cc1,1092931,7300
CC(C)N(C)[C@@H]1CC[C@@H]([C@H](CS(=O)(=O)c2ccccc2)C1)N3CC[C@H](NC(=O)c4ccccc4)C3=O,1092940,>80000
CC(C)N(C)[C@@H]1CC[C@@H]([C@H](CS(=O)(=O)c2ccccc2)C1)N3CC[C@H](NC(=O)c4cc(F)cc(c4)C(F)(F)F)C3=O,1092941,22000
ONC(=O)\C=C\c1ccc(CN2CCCC(C2)c3c[nH]c4ccccc34)c(F)c1,1093051,15300
ONC(=O)\C=C\c1ccc(CN2CCCC(C2)c3c([nH]c4ccccc34)c5ccccc5)c(F)c1,1093052,19300
CC(C)(C)c1[nH]c2ccccc2c1C3CCCN(Cc4ccc(\C=C\C(=O)NO)cc4F)C3,1093053,30000
C[C@H](c1c(CCN(C)C)sc2ccccc12)n3cccn3,1093058,2000
OCCN1CCC(CC1)N(C(=O)NCc2ccc(F)cc2)c3ccc(Cl)cc3,1093113,12700
COc1ncccc1[C@@H](C)c2c(CCN(C)C)sc3ccccc23,1093294,1800
CC(C)(C)c1[nH]c2ccccc2c1C3CCCN(Cc4ccc(\C=C\C(=O)NO)cc4Cl)C3,1093351,9900
Cc1[nH]c2ccccc2c1CCN3CCc4ccc(\C=C\C(=O)NO)cc4C3,1093362,2700
FC(F)(F)c1cccc(c1)C(=O)NCC(=O)N[C@@H]2CCN(CCN3CCN(CC3)C(=O)c4ccccc4)C2,1093469,>10000
COc1ccc2C(=C(CCN(C)C)Cc2c1)[C@@H](C)c3nccs3,1093623,22000
Fc1ccc(CNC(=O)N(C2CCN(Cc3ccnnc3)CC2)c4ccc(Cl)cc4)cc1,1093696,12000
Fc1ccccc1C(=O)N2CCN(CCN3CC[C@H](C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F)CC2,1093802,>10000
Brc1ccc(cc1)N(C2CCN(CC2)C3CCCC3)C(=O)NCc4ccccc4,1094028,178
Brc1ccc(cc1)N(C2CCN(CC2)C3CCCC3)C(=O)Nc4ccccc4,1094029,188
Fc1ccc(CNC(=O)N(C2CCN(CC2)C3CCCC3)c4ccc(Br)cc4)cc1,1094030,202
ONC(=O)\C=C\c1ccc(CN2CCCC(C2)c3c[nH]c4ccccc34)cc1,1094040,29300
ONC(=O)\C=C\c1ccc(CN2CCCC(C2)c3c([nH]c4ccccc34)c5ccccc5)cc1,1094041,28400
CC(C)(C)c1[nH]c2ccccc2c1C3CCCN(Cc4ccc(\C=C\C(=O)NO)cc4)C3,1094042,13500
NC(=O)c1c(F)ccc(OCc2nc3ncc(Cl)cc3s2)c1F,1094181,>10000
OC(c1ccc2c(cnn2c3ccc(F)cc3)c1)(c4cccc(Cl)c4Cl)C(F)(F)F,1094208,>10000
OC(c1ccnc(Cl)c1)(c2ccc3c(cnn3c4ccc(F)cc4)c2)C(F)(F)F,1094209,>10000
OC(c1ccc(F)c(Cl)c1)(c2ccc3c(cnn3c4ccc(F)cc4)c2)C(F)(F)F,1094231,>10000
CCOCCn1nc(CC)c2nc(nc(Nc3cc(C)ccn3)c12)N4CCC(CC4)C(=O)O,1094365,1100
Cc1cc(ccc1F)C(O)(c2ccc3c(cnn3c4ccc(F)cc4)c2)C(F)(F)F,1094514,>10000
C[C@H](O)C(=O)NC1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl,1094521,120
CC(=O)N1C[C@H](C[C@@H]1C(=O)N2CCCN(CC2)C3CCC3)Oc4ccc(F)cc4,1094562,>10000
CC1(C)C[C@@H](NC(=O)c2ccccc2O)c3cc(c4ccc(Cl)cc4)c(nc3O1)c5ccc(Cl)cc5Cl,1094839,>30000
CC1(C)C[C@@H](NC(=O)c2ccccc2N)c3cc(c4ccc(Cl)cc4)c(nc3O1)c5ccc(Cl)cc5Cl,1094840,>30000
